dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,requested_ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.5,459.9337631085719,-11.5252268696415,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.05,270.6057411820358,-10.244196686132705,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.1,268.8491330644616,-10.228227521427485,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.2,348.3924989987077,-10.951349029920634,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.3,377.34623291737563,-11.214564792817614,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.4,389.23537064059525,-11.3226478630287,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,1,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.5,422.544452629013,-11.625457699287043,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.05,273.1474542437957,-9.696040277989672,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.1,302.24292822250845,-9.960544586887059,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.2,322.4689796459798,-10.144417781645888,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.3,385.26075216383776,-10.715252077262779,0.3
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.4,391.9924580777603,-10.776449403752984,0.4
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,2,30,15000,4000,4000,100,110,35,Epsilon_Greedy,epsilon=0.5,463.67249671225636,-11.428086118612038,0.5
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,293.417679346003,-9.78602231110577,0.05
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,167.37290129948167,-8.525574530640554,0.1
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,272.2575617159046,-9.574421134804783,0.2
nonlinear_messy_ultra_ref_sens,nonlinear_messy_ultra,0,30,15000,5000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,374.1886331978743,-10.593731849624483,0.3
