policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
Epsilon_Greedy,epsilon=0.02,23,110.66546313585069,16.8960922908194,93.76937084503129,127.56155542667008,3
Epsilon_Greedy,epsilon=0.02,24,115.40999062523053,12.845039220522514,102.56495140470803,128.25502984575306,3
Epsilon_Greedy,epsilon=0.02,25,119.3018951193331,7.055873678698657,112.24602144063444,126.35776879803176,3
Epsilon_Greedy,epsilon=0.02,26,130.27347974872052,13.045331565851125,117.22814818286939,143.31881131457163,3
Epsilon_Greedy,epsilon=0.02,27,130.27347974872052,13.045331565851125,117.22814818286939,143.31881131457163,3
Epsilon_Greedy,epsilon=0.02,28,130.27347974872052,13.045331565851125,117.22814818286939,143.31881131457163,3
Epsilon_Greedy,epsilon=0.02,29,132.06039418037977,13.304077114981467,118.7563170653983,145.36447129536123,3
Epsilon_Greedy,epsilon=0.02,30,132.06039418037977,13.304077114981467,118.7563170653983,145.36447129536123,3
Epsilon_Greedy,epsilon=0.02,31,132.06039418037977,13.304077114981467,118.7563170653983,145.36447129536123,3
Epsilon_Greedy,epsilon=0.02,32,135.59874280987478,15.717079652986975,119.88166315688781,151.31582246286175,3
Epsilon_Greedy,epsilon=0.02,33,138.30082609581856,18.73740998584337,119.5634161099752,157.03823608166192,3
Epsilon_Greedy,epsilon=0.02,34,138.30082609581856,18.73740998584337,119.5634161099752,157.03823608166192,3
Epsilon_Greedy,epsilon=0.02,35,140.62739181540505,20.10218129849796,120.5252105169071,160.729573113903,3
Epsilon_Greedy,epsilon=0.02,36,140.62739181540505,20.10218129849796,120.5252105169071,160.729573113903,3
Epsilon_Greedy,epsilon=0.02,37,140.62739181540505,20.10218129849796,120.5252105169071,160.729573113903,3
Epsilon_Greedy,epsilon=0.02,38,143.64755426439788,23.477183981628844,120.17037028276904,167.12473824602674,3
Epsilon_Greedy,epsilon=0.02,39,148.84285408844846,30.53247725193867,118.31037683650979,179.37533134038713,3
Epsilon_Greedy,epsilon=0.02,40,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,41,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,42,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,43,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,44,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,45,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,46,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,47,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,48,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,49,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,50,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,51,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,52,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,53,152.75510393282025,31.593785017645185,121.16131891517506,184.34888895046544,3
Epsilon_Greedy,epsilon=0.02,54,153.39299909373403,31.900243906858712,121.49275518687531,185.29324300059275,3
Epsilon_Greedy,epsilon=0.02,55,154.17487471344447,32.32346041593465,121.85141429750982,186.49833512937911,3
Epsilon_Greedy,epsilon=0.02,56,155.10409934850608,32.89192825478969,122.21217109371639,187.99602760329577,3
Epsilon_Greedy,epsilon=0.02,57,155.10409934850608,32.89192825478969,122.21217109371639,187.99602760329577,3
