feature_dim,policy,config_id,final_regret_mean,final_regret_std,final_regret_best,n_repeats
400,Epsilon_Greedy,epsilon=0.4,268.17149840162847,48.491339558328484,217.0532810910691,3
400,Epsilon_Greedy,epsilon=0.2,273.52645070703335,20.976658870295893,256.1860616466372,3
400,Epsilon_Greedy,epsilon=0.3,304.3697993752215,35.8683153859304,263.0112377981662,3
400,Epsilon_Greedy,epsilon=0.5,358.4269849172899,56.974780936550054,296.32245092866066,3
500,Epsilon_Greedy,epsilon=0.1,258.5536755765187,32.40053499921153,223.5958826999488,3
500,Epsilon_Greedy,epsilon=0.2,288.4470702582045,42.79523835427748,242.98290093085265,3
500,Epsilon_Greedy,epsilon=0.3,335.2000395810452,117.18616031224335,262.6768478907347,3
500,Epsilon_Greedy,epsilon=0.4,335.43805897843873,37.877149417041636,291.72373761029627,3
500,Epsilon_Greedy,epsilon=0.05,365.9970515765404,182.39562965599276,235.99187211959457,3
500,Epsilon_Greedy,epsilon=0.5,400.11434457211925,27.06215567064436,382.85918497880357,3
