dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,366.06270887186224,-10.62747896095589,0.3
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,386.6737683037165,-10.833589555274434,0.4
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,412.31829625374576,-11.090034834774727,0.5
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,285.35628704741526,-9.571990407802922,0.05
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,196.8358723738157,-8.686786261066924,0.1
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.2,286.3933756301936,-9.582361293630703,0.2
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.3,434.7180707769068,-11.065608245097835,0.3
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.4,424.89050231077033,-10.967332560436473,0.4
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,2,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.5,438.703856208301,-11.105466099411778,0.5
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,40,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,244.914096656839,-9.36124728521329,0.05
nonlinear_messy_ultra_dim_sens,nonlinear_messy_ultra,0,40,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,219.3145344626071,-9.105251663270971,0.1
