feature_dim,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,shift_batch_index
400,epsilon=0.1,0.1,0.1,243.3966125800804,30.252343569356537,0.124292377156248,3,100,25
500,epsilon=0.1,0.1,0.1,258.5536755765187,26.454926047085337,0.1023188937001053,3,100,25
10,epsilon=0.2,0.2,0.2,347.3179949555212,46.34669666410776,0.1334416797783342,3,100,25
20,epsilon=0.2,0.2,0.2,289.62851158112,38.34534280364269,0.1323949171796327,3,100,25
30,epsilon=0.2,0.2,0.2,261.02373005190924,33.67952097422612,0.1290285790013358,3,100,25
40,epsilon=0.2,0.2,0.2,288.40083653455423,63.18645459649215,0.2190924802984112,3,100,25
50,epsilon=0.2,0.2,0.2,358.1989653373982,112.63924971724812,0.3144600085908955,3,100,25
75,epsilon=0.2,0.2,0.2,314.6898422343191,95.69960673587464,0.3041077082641149,3,100,25
100,epsilon=0.2,0.2,0.2,340.78387922302863,44.219321148456814,0.1297576670858809,3,100,25
150,epsilon=0.2,0.2,0.2,295.8024114887488,25.18203189356626,0.0851312596365499,3,100,25
200,epsilon=0.2,0.2,0.2,306.205009283749,30.544450858550896,0.0997516367547288,3,100,25
300,epsilon=0.2,0.2,0.2,285.7005334765934,18.44726567446426,0.0645685377271988,3,100,25
400,epsilon=0.2,0.2,0.2,273.52645070703335,17.127370246883853,0.0626168701513569,3,100,25
500,epsilon=0.2,0.2,0.2,288.4470702582045,34.94216579625465,0.1211389173236394,3,100,25
10,epsilon=0.3,0.3,0.3,423.46202082801074,61.65519218219242,0.145597926495594,3,100,25
20,epsilon=0.3,0.3,0.3,301.14350018890303,28.14494233654877,0.093460235133396,3,100,25
30,epsilon=0.3,0.3,0.3,390.82497715092967,31.122136156532655,0.079631901685019,3,100,25
40,epsilon=0.3,0.3,0.3,379.1458438919096,10.831239313628572,0.0285674747280533,3,100,25
50,epsilon=0.3,0.3,0.3,334.41330276623563,45.40690395194101,0.1357807945328111,3,100,25
75,epsilon=0.3,0.3,0.3,395.34670580321335,34.91686386723589,0.0883196024013818,3,100,25
100,epsilon=0.3,0.3,0.3,341.53607598436514,61.03765809997836,0.1787151120831304,3,100,25
150,epsilon=0.3,0.3,0.3,352.8507590111239,32.892562971006846,0.0932194763111445,3,100,25
200,epsilon=0.3,0.3,0.3,275.7760987418267,38.48906444201828,0.1395663533483029,3,100,25
300,epsilon=0.3,0.3,0.3,292.8503072422364,20.1879980741728,0.068936236619598,3,100,25
400,epsilon=0.3,0.3,0.3,304.3697993752215,29.28635687624952,0.096219654303303,3,100,25
500,epsilon=0.3,0.3,0.3,335.20003958104525,95.68209922699506,0.2854477563504609,3,100,25
10,epsilon=0.4,0.4,0.4,365.5604826243475,17.976272997547436,0.049174552097361,3,100,25
20,epsilon=0.4,0.4,0.4,363.69667751068897,16.98740562475469,0.0467076183951541,3,100,25
30,epsilon=0.4,0.4,0.4,357.9303325320013,69.44789306169763,0.19402628598259,3,100,25
40,epsilon=0.4,0.4,0.4,386.5794534976847,36.74895236021639,0.0950618353555008,3,100,25
50,epsilon=0.4,0.4,0.4,398.5271724256625,56.65501959678896,0.1421609955776775,3,100,25
75,epsilon=0.4,0.4,0.4,451.5321436111483,41.57416939675175,0.0920735544190951,3,100,25
100,epsilon=0.4,0.4,0.4,381.2475387321911,46.44723921746857,0.1218296106826688,3,100,25
150,epsilon=0.4,0.4,0.4,355.7227251521156,81.1521672059805,0.228133210132352,3,100,25
200,epsilon=0.4,0.4,0.4,354.47362874546843,18.697803498394155,0.0527480804836407,3,100,25
300,epsilon=0.4,0.4,0.4,307.61192012644966,29.742961575867344,0.0966898862815229,3,100,25
400,epsilon=0.4,0.4,0.4,268.17149840162847,39.5930129539806,0.1476406448484093,3,100,25
500,epsilon=0.4,0.4,0.4,335.43805897843873,30.926562994303097,0.0921975374186475,3,100,25
10,epsilon=0.5,0.5,0.5,397.2765928628343,27.221537406769144,0.0685203656490474,3,100,25
20,epsilon=0.5,0.5,0.5,360.8589989957941,41.09509768440017,0.1138813159676229,3,100,25
