feature_dim,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,shift_batch_index
20,epsilon=0.2,0.2,0.2,289.62851158112,38.34534280364269,0.13239491717963275,3,100,25
30,epsilon=0.2,0.2,0.2,261.02373005190924,33.67952097422612,0.1290285790013358,3,100,25
40,epsilon=0.2,0.2,0.2,288.40083653455423,63.18645459649215,0.21909248029841125,3,100,25
50,epsilon=0.2,0.2,0.2,358.1989653373982,112.63924971724812,0.3144600085908955,3,100,25
75,epsilon=0.2,0.2,0.2,314.6898422343191,95.69960673587464,0.3041077082641149,3,100,25
100,epsilon=0.2,0.2,0.2,340.78387922302863,44.219321148456814,0.12975766708588096,3,100,25
150,epsilon=0.2,0.2,0.2,295.80241148874876,25.18203189356626,0.08513125963654997,3,100,25
200,epsilon=0.2,0.2,0.2,306.205009283749,30.544450858550896,0.09975163675472881,3,100,25
300,epsilon=0.2,0.2,0.2,285.7005334765934,18.44726567446426,0.06456853772719884,3,100,25
400,epsilon=0.2,0.2,0.2,273.52645070703335,17.127370246883853,0.06261687015135697,3,100,25
500,epsilon=0.2,0.2,0.2,288.4470702582045,34.94216579625465,0.12113891732363942,3,100,25
10,epsilon=0.3,0.3,0.3,423.46202082801074,61.65519218219242,0.14559792649559405,3,100,25
20,epsilon=0.3,0.3,0.3,301.14350018890303,28.14494233654877,0.09346023513339603,3,100,25
30,epsilon=0.3,0.3,0.3,390.82497715092967,31.122136156532658,0.07963190168501907,3,100,25
40,epsilon=0.3,0.3,0.3,379.14584389190964,10.831239313628572,0.028567474728053304,3,100,25
50,epsilon=0.3,0.3,0.3,334.41330276623563,45.406903951941004,0.13578079453281114,3,100,25
75,epsilon=0.3,0.3,0.3,395.34670580321335,34.91686386723589,0.08831960240138186,3,100,25
100,epsilon=0.3,0.3,0.3,341.53607598436514,61.03765809997836,0.1787151120831304,3,100,25
150,epsilon=0.3,0.3,0.3,352.8507590111239,32.892562971006846,0.09321947631114458,3,100,25
200,epsilon=0.3,0.3,0.3,275.7760987418267,38.489064442018275,0.13956635334830297,3,100,25
300,epsilon=0.3,0.3,0.3,292.8503072422364,20.187998074172796,0.06893623661959805,3,100,25
400,epsilon=0.3,0.3,0.3,304.3697993752215,29.28635687624952,0.09621965430330306,3,100,25
500,epsilon=0.3,0.3,0.3,335.20003958104525,95.68209922699506,0.28544775635046093,3,100,25
10,epsilon=0.4,0.4,0.4,365.5604826243475,17.976272997547436,0.04917455209736108,3,100,25
20,epsilon=0.4,0.4,0.4,363.69667751068897,16.98740562475469,0.04670761839515411,3,100,25
30,epsilon=0.4,0.4,0.4,357.9303325320013,69.44789306169763,0.19402628598259003,3,100,25
40,epsilon=0.4,0.4,0.4,386.5794534976847,36.748952360216386,0.0950618353555008,3,100,25
50,epsilon=0.4,0.4,0.4,398.5271724256625,56.65501959678896,0.14216099557767758,3,100,25
75,epsilon=0.4,0.4,0.4,451.5321436111483,41.57416939675175,0.09207355441909515,3,100,25
100,epsilon=0.4,0.4,0.4,381.2475387321911,46.44723921746857,0.12182961068266888,3,100,25
150,epsilon=0.4,0.4,0.4,355.7227251521156,81.1521672059805,0.22813321013235208,3,100,25
200,epsilon=0.4,0.4,0.4,354.47362874546843,18.697803498394155,0.052748080483640734,3,100,25
300,epsilon=0.4,0.4,0.4,307.61192012644966,29.742961575867344,0.09668988628152297,3,100,25
400,epsilon=0.4,0.4,0.4,268.17149840162847,39.5930129539806,0.14764064484840933,3,100,25
500,epsilon=0.4,0.4,0.4,335.43805897843873,30.926562994303097,0.09219753741864752,3,100,25
10,epsilon=0.5,0.5,0.5,397.2765928628343,27.221537406769144,0.0685203656490474,3,100,25
20,epsilon=0.5,0.5,0.5,360.8589989957941,41.09509768440017,0.11388131596762299,3,100,25
30,epsilon=0.5,0.5,0.5,370.86594271200767,78.02700940683725,0.21039141215355103,3,100,25
40,epsilon=0.5,0.5,0.5,419.755344425593,2.154775434401503,0.005133407979236497,3,100,25
50,epsilon=0.5,0.5,0.5,386.15166651200093,27.851164270402492,0.0721249360956388,3,100,25
75,epsilon=0.5,0.5,0.5,465.10632816895014,62.13408804152524,0.13359114739663355,3,100,25
100,epsilon=0.5,0.5,0.5,421.90831520804267,9.460803384894257,0.022423837226884572,3,100,25
150,epsilon=0.5,0.5,0.5,393.05847816663777,42.95499159913153,0.1092839716865761,3,100,25
200,epsilon=0.5,0.5,0.5,339.82213665093656,31.280443877443282,0.0920494591250669,3,100,25
300,epsilon=0.5,0.5,0.5,329.50701324603637,34.97730026492528,0.10615039698353378,3,100,25
400,epsilon=0.5,0.5,0.5,358.42698491728976,46.51971383379931,0.12978853655378136,3,100,25
500,epsilon=0.5,0.5,0.5,400.1143445721193,22.09615757761501,0.05522460735879028,3,100,25
