cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,42,1.0891380163572963,0.21821138080151017,0.8709266355557862,1.3073493971588066,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,43,1.1040577371706866,0.21764754890862112,0.8864101882620654,1.3217052860793077,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,44,1.12824874903136,0.23547633337264837,0.8927724156587116,1.3637250824040084,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,45,1.1375817911051758,0.2395569543255133,0.8980248367796625,1.3771387454306891,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,46,1.176294511571322,0.19069243554763218,0.9856020760236898,1.3669869471189542,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,47,1.1843387600645021,0.18924645948531166,0.9950923005791905,1.3735852195498137,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,48,1.1986296014168378,0.18265323792218724,1.0159763634946506,1.381282839339025,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,49,1.2144312578616783,0.19674173956441898,1.0176895182972592,1.4111729974260974,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,50,1.241834661280665,0.1939800263865181,1.0478546348941469,1.4358146876671831,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,51,1.2482773856403364,0.19226557899479488,1.0560118066455415,1.4405429646351313,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,52,1.2731250937476462,0.19685045226043618,1.07627464148721,1.4699755460080823,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,53,1.2804569589066066,0.18779502386981362,1.092661935036793,1.4682519827764202,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,54,1.3118931812559411,0.22196104356297158,1.0899321376929696,1.5338542248189126,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,55,1.3300747238105133,0.22710949905889802,1.1029652247516153,1.5571842228694113,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,56,1.3484324078786456,0.21521182108978595,1.1332205867888596,1.5636442289684316,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,57,1.3611578119115897,0.21989117439427805,1.1412666375173117,1.5810489863058677,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,58,1.379868864887263,0.20225757642473796,1.1776112884625252,1.5821264413120009,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,59,1.4016611113092037,0.20765326022502442,1.1940078510841792,1.6093143715342282,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,60,1.431810970321573,0.23055152224199288,1.20125944807958,1.6623624925635658,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,61,1.4613875011029018,0.23835749496726835,1.2230300061356334,1.6997449960701703,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,62,1.479328352612174,0.2617059709859986,1.2176223816261755,1.7410343235981727,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,63,1.4926175792455423,0.2617937237906034,1.2308238554549389,1.7544113030361457,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,64,1.5132948157964876,0.2468340090948813,1.2664608067016063,1.760128824891369,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,65,1.566967256897818,0.20732300552087307,1.359644251376945,1.774290262418691,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,66,1.5755243747806675,0.20583434129199282,1.3696900334886748,1.7813587160726603,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,67,1.616118885941072,0.20985867914400583,1.4062602067970662,1.8259775650850778,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,68,1.6308941308104543,0.20428680873408053,1.4266073220763738,1.8351809395445349,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,69,1.6417319805055353,0.19216739444349926,1.449564586062036,1.8338993749490344,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,70,1.6737385534231926,0.19039266872625432,1.4833458846969383,1.8641312221494468,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,71,1.6785837038306086,0.18805640725556982,1.490527296575039,1.8666401110861783,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,72,1.6884853638826394,0.19227006709410158,1.4962152967885378,1.880755430976741,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,73,1.7268926207622564,0.1730642545236159,1.5538283662386405,1.8999568752858722,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,74,1.8282972152878365,0.19876668232839342,1.6295305329594432,2.02706389761623,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,75,1.8508623836327185,0.17593123501761687,1.6749311486151015,2.0267936186503355,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,76,1.8706137806406076,0.15498237935537384,1.7156314012852336,2.0255961599959815,3
stationary,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,77,1.9036123956179942,0.14740760687883436,1.7562047887391599,2.051020002496829,3
