ref_samples,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,feature_dim,total_samples,batch_size,shift_batch_index
1000,epsilon=0.4,0.4,0.4,468.6825141741008,47.48388905087732,0.10131354939612396,3,140,30,15000,100,65
2000,epsilon=0.4,0.4,0.4,456.33456207339896,40.080406508993455,0.08783118755433374,3,130,30,15000,100,55
3000,epsilon=0.4,0.4,0.4,504.00611731343656,49.75475686173529,0.09871855747892298,3,120,30,15000,100,45
4000,epsilon=0.4,0.4,0.4,392.19817395795343,2.507325030516452,0.006393005365663063,3,110,30,15000,100,35
5000,epsilon=0.4,0.4,0.4,343.49194672210905,6.941898414366656,0.02020978506370274,3,100,30,15000,100,25
6000,epsilon=0.4,0.4,0.4,293.9478025951467,30.188145205428533,0.10269899941047207,3,90,30,15000,100,15
8000,epsilon=0.4,0.4,0.4,307.68431980137035,15.963133636911373,0.051881531198003795,3,70,30,15000,100,1
10000,epsilon=0.4,0.4,0.4,219.67347849404814,17.660085520504374,0.08039243354077838,3,50,30,15000,100,1
500,epsilon=0.5,0.5,0.5,514.9736252429975,57.45007696704866,0.11155926080668702,3,145,30,15000,100,70
1000,epsilon=0.5,0.5,0.5,679.2168552910284,68.47913739948329,0.10082072738042049,3,140,30,15000,100,65
2000,epsilon=0.5,0.5,0.5,557.600974037533,27.931710488123684,0.05009265010043465,3,130,30,15000,100,55
3000,epsilon=0.5,0.5,0.5,492.75362904212983,25.250053478544825,0.05124275498006728,3,120,30,15000,100,45
4000,epsilon=0.5,0.5,0.5,448.7169041499471,18.569552968978794,0.04138367152482723,3,110,30,15000,100,35
5000,epsilon=0.5,0.5,0.5,381.06669951663997,39.23454219020688,0.10295977643801865,3,100,30,15000,100,25
6000,epsilon=0.5,0.5,0.5,318.48914552589923,28.582220229380773,0.08974315335671776,3,90,30,15000,100,15
8000,epsilon=0.5,0.5,0.5,361.20982075641194,61.37539722706195,0.16991619192007382,3,70,30,15000,100,1
10000,epsilon=0.5,0.5,0.5,243.62295835441375,4.45109818508995,0.018270438119442976,3,50,30,15000,100,1
