config_id,epsilon,explore_traffic_ratio,expected_explore_batches,n_batches,final_regret_mean,final_regret_std,final_regret_cv,path_cumregret_std_mean,incremental_regret_var_mean,n_repeats,experiment
epsilon=0.3,0.3,0.3,180.0,600,73.4622244873101,4.343730773775583,0.0591287672554201,1.899862844286452,0.0102528641423805,5,mab_scale_d30_dense_higheps
epsilon=0.35,0.35,0.35,210.0,600,73.02100275812145,1.8956044098861549,0.0259597148530711,0.8472226363277279,0.0096235648938886,5,mab_scale_d30_dense_higheps
epsilon=0.4,0.4,0.4,240.0,600,74.05218841357346,1.6983514285513404,0.0229345204366713,1.1271966894744223,0.0099782542348641,5,mab_scale_d30_dense_higheps
epsilon=0.45,0.45,0.45,270.0,600,74.20894404708125,1.8427564149106996,0.024831998872556,0.7557236724995464,0.0110583741415121,5,mab_scale_d30_dense_higheps
epsilon=0.5,0.5,0.5,300.0,600,75.29344883093782,2.4231893116838994,0.0321832689205786,1.0548321453457734,0.0104613898729991,5,mab_scale_d30_dense_higheps
epsilon=0.55,0.55,0.55,330.0,600,77.12895813712234,2.885970471305801,0.0374174699232294,1.1691202595858483,0.0111605162838541,5,mab_scale_d30_dense_higheps
epsilon=0.6,0.6,0.6,360.0,600,77.86268232558776,1.4562562951217402,0.0187028786014886,0.8740300520975328,0.0109480598253568,5,mab_scale_d30_dense_higheps
epsilon=0.65,0.65,0.65,390.0,600,76.49000898313503,1.3129797800020813,0.0171653762034669,1.0418646753901448,0.0116737402465373,5,mab_scale_d30_dense_higheps
epsilon=0.7,0.7,0.7,420.0,600,77.57082152762953,1.7175884900219924,0.0221421980094695,1.2082272327946617,0.0117946646864685,5,mab_scale_d30_dense_higheps
epsilon=0.05,0.05,0.05,32.0,640,46.93230395084274,2.6563305054512374,0.0565991924929468,1.5497828340619757,0.0029545810443837,3,mab_scale_d30_n40k_higheps
epsilon=0.1,0.1,0.1,64.0,640,50.81384145892536,5.504680274794638,0.1083303312000976,3.3960047649959746,0.003922659974379,3,mab_scale_d30_n40k_higheps
epsilon=0.2,0.2,0.2,128.0,640,47.24706859357318,1.8900558671644556,0.0400036642150863,1.0077159874086514,0.0034498935275664,3,mab_scale_d30_n40k_higheps
epsilon=0.3,0.3,0.3,192.0,640,49.21758795933951,0.9265807948222328,0.0188262130112454,0.5926775317317792,0.003475021298602,3,mab_scale_d30_n40k_higheps
epsilon=0.4,0.4,0.4,256.0,640,50.15036062115025,1.125421077991615,0.0224409368956159,0.5613932284199044,0.0040583179139454,3,mab_scale_d30_n40k_higheps
epsilon=0.5,0.5,0.5,320.0,640,49.44085412883499,0.8016131115230899,0.0162135773268441,0.4048781611726239,0.0035440911354243,3,mab_scale_d30_n40k_higheps
epsilon=0.6,0.6,0.6,384.0,640,53.00349883891806,0.588540853041068,0.0111038113696926,0.4813965938177699,0.0040622725652961,3,mab_scale_d30_n40k_higheps
epsilon=0.7,0.7,0.7,448.0,640,53.5927649045283,1.367918101661882,0.0255243054561325,0.915205355423374,0.0043637586184057,3,mab_scale_d30_n40k_higheps
